book_id,title,author,出版社,出版时间,数,价格,ISBM,评分,评论数量,user_id
4156,西方社会学名著提要,谢立中 主编, 江西人民出版社, 1998/07,661,48,9.79E+12,7,43,21733
4157,尾文字鱼,伍肆, 黑龙江美术出版社, 2015/10/1,120,42,9.79E+12,9,269,22602
4158,其实你还不懂女人,端宏斌, 人民邮电出版社,None,214,36,9.79E+12,7.2,38,23303
4159,论僭政,施特劳斯, 华夏出版社, 2006/1/1,382,35,9.79E+12,9,152,23576
4160,虽然没有遇到什么困难，但我就是要逃避,[日]山口路子, 浦睿文化/湖南文艺出版社, 2016/1,208,35,9.79E+12,7.8,58,23612
4161,点击上传封面图片,唐家三少, 湖南少年儿童出版社, 2016/1/16,288,28,9.79E+12,7,25,24326
4162,王小波文存,王小波, 中国青年出版社,1999,373,18,9.79E+12,9.1,98,24499
4163,交互设计的艺术,赵大羽, 清华大学出版社, 2014/2/1,317,79,9.79E+12,6.9,10,25164
4164,交互设计的艺术,赵大羽, 清华大学出版社, 2014/2/1,317,79,9.79E+12,6.9,10,25182
4165,设计人&手工达人必备的 1208个巴黎风图案（全彩）含DVD光盘,[日]双木, 电子工业出版社, 2014/4,173,69.8,9.79E+12,7.3,10,25840
4166,自己做创意家：北欧风小宅设计,[日]久保田由希, 电子工业出版社, 2014/4,144,49,9.79E+12,6.9,14,26145
4167,大叔,马家辉, 北京十月文艺出版社, 2014/4,359,36,9.79E+12,7,332,26244
4168,小妹,马家辉, 北京十月文艺出版社, 2014/4/1,299,36,9.79E+12,7.4,196,26629
4169,你不必讨全世界的欢心,菠菜, 中国友谊出版公司, 2016/1,None,35,9.79E+12,8.1,127,26661
4170,The Fellowship of the Ring,J.R.R. Tolkien, HarperCollins Publishers Ltd, 1 April 2008,576, ￡9.99,9.78E+12,9.7,26,27499
4171,哈里波特套装1-6 Harry Potter Boxed Set,J.K. Rowling," Bloomsbury Publishing, PLC",2005,None, ￡85,9.78E+12,9.1,126,27834
4172,Cock,Mike Bartlett, Methuen Drama, 2009/11/12,112, ￡8.99,9.78E+12,9.1,85,28767
4173,Design as Art,Bruno Munari, Penguin Classic,2008,224, ￡8.99,9.78E+12,8.6,84,28824
4174,"A Storm of Swords: 2 Blood and Gold (A Song of Ice and Fire, Book 3, Part 2)",George R.R. Martin, Voyager, 2001/08/06,656, ￡8.99,9.78E+12,9.5,62,29703
4175,Endgame,Samuel Beckett, Faber and Faber," 05 January, 2006",64, ￡8.99,9.78E+12,8.2,47,30184
4176,The Children of Hurin,J.R.R. Tolkien, HarperCollins Publishers Ltd, 1 April 2008,336, ￡8.99,9.78E+12,9.3,40,30601
4177,the Kite Runner,KHALED HOSSEINI, Bloomsbury,2007,324, ￡7.99,9.78E+12,9,977,30681
4178,Nan Goldin,Guido Costa, Phaidon, 2010/9/21,128, ￡7.95,9.78E+12,8.6,23,30794
4179,The History Boys,Alan Bennett, Faber and Faber," June 17, 2004",144, ￡7.19,9.78E+12,9.4,70,32305
4180,David Hockney,Martin Gayford, Thames & Hudson, 2012/1/16,304, ￡60.00,9.78E+12,9.2,40,32419
4181,Harry Potter and the Philosopher's Stone,J. K. Rowling, Bloomsbury Publishing PLC, 2001/10,224, ￡6.99,9.78E+12,0,None,32592
